,Song,Artist,artist_trunc,search_term,lyrics_raw
158,Can't Stop This Thing We Started,Bryan Adams,Bryan Adams,Can't Stop This Thing We Started Bryan Adams,error
159,I Can't Wait Another Minute,Hi-Five,Hi-Five,I Can't Wait Another Minute Hi-Five,error
160,3 a.m. Eternal,The KLF,The KLF,3 a.m. Eternal The KLF,error
161,"Time, Love and Tenderness",Michael Bolton,Michael Bolton,"Time, Love and Tenderness Michael Bolton",error
162,Sadeness (Part I),Enigma,Enigma,Sadeness (Part I) Enigma,error
163,Around the Way Girl,LL Cool J,LL Cool,Around the Way Girl LL Cool,error
164,I'll Be There,The Escape Club,The Escape,I'll Be There The Escape,error
165,Cream,Prince and The New Power Generation,Prince and,Cream Prince and,error
166,Now That We Found Love,Heavy D & the Boyz,Heavy D,Now That We Found Love Heavy D,error
167,Show Me the Way,Styx,Styx,Show Me the Way Styx,error
168,Love Takes Time,Mariah Carey,Mariah Carey,Love Takes Time Mariah Carey,error
169,Cry for Help,Rick Astley,Rick Astley,Cry for Help Rick Astley,error
170,The Way You Do the Things You Do,UB40,UB40,The Way You Do the Things You Do UB40,error
171,Here I Am (Come and Take Me),UB40,UB40,Here I Am (Come and Take Me) UB40,error
172,Signs,Tesla,Tesla,Signs Tesla,error
173,Too Many Walls,Cathy Dennis,Cathy Dennis,Too Many Walls Cathy Dennis,error
174,Crazy,Seal,Seal,Crazy Seal,error
175,I'll Give All My Love to You,Keith Sweat,Keith Sweat,I'll Give All My Love to You Keith Sweat,error
176,Place in this World,Michael W. Smith,Michael W.,Place in this World Michael W.,error
177,Something to Believe In,Poison,Poison,Something to Believe In Poison,error
178,Wicked Game,Chris Isaak,Chris Isaak,Wicked Game Chris Isaak,error
179,Get Here,Oleta Adams,Oleta Adams,Get Here Oleta Adams,error
180,Round and Round,Tevin Campbell,Tevin Campbell,Round and Round Tevin Campbell,error
181,Silent Lucidity,Queensryche,Queensryche,Silent Lucidity Queensryche,error
182,I'm Not In Love,Will to Power,Will to,I'm Not In Love Will to,error
183,Piece of My Heart,Tara Kemp,Tara Kemp,Piece of My Heart Tara Kemp,error
184,Real Real Real,Jesus Jones,Jesus Jones,Real Real Real Jesus Jones,error
185,Everybody Plays the Fool,Aaron Neville,Aaron Neville,Everybody Plays the Fool Aaron Neville,error
186,Just Another Dream,Cathy Dennis,Cathy Dennis,Just Another Dream Cathy Dennis,error
187,Strike It Up,Black Box,Black Box,Strike It Up Black Box,error
188,Rico Suave,Gerardo,Gerardo,Rico Suave Gerardo,error
189,Disappear,INXS,INXS,Disappear INXS,error
190,Groove Is in the Heart,Deee-Lite,Deee-Lite,Groove Is in the Heart Deee-Lite,error
191,All This Time,Sting,Sting,All This Time Sting,error
192,The One and Only,Chesney Hawkes,Chesney Hawkes,The One and Only Chesney Hawkes,error
193,O.P.P.,Naughty by Nature,Naughty by,O.P.P. Naughty by,error
194,Freedom 90,George Michael,George Michael,Freedom 90 George Michael,error
195,I Saw Red,Warrant,Warrant,I Saw Red Warrant,error
196,Miles Away,Winger,Winger,Miles Away Winger,error
197,Do You Want Me,Salt-n-Pepa,Salt-n-Pepa,Do You Want Me Salt-n-Pepa,error
198,The Motown Song,Rod Stewart,Rod Stewart,The Motown Song Rod Stewart,error
199,Shiny Happy People,R.E.M.,R.E.M.,Shiny Happy People R.E.M.,error
200,Hold On,Wilson Phillips,Wilson Phillips,Hold On Wilson Phillips,error
201,It Must Have Been Love,Roxette,Roxette,It Must Have Been Love Roxette,error
202,Nothing Compares 2 U,Sinead O'Connor,Sinead O'Connor,Nothing Compares 2 U Sinead O'Connor,error
203,Poison,Bell Biv DeVoe,Bell Biv,Poison Bell Biv,error
204,Vogue,Madonna,Madonna,Vogue Madonna,error
205,Vision of Love,Mariah Carey,Mariah Carey,Vision of Love Mariah Carey,error
206,Another Day in Paradise,Phil Collins,Phil Collins,Another Day in Paradise Phil Collins,error
207,Hold On,En Vogue,En Vogue,Hold On En Vogue,error
208,Cradle of Love,Billy Idol,Billy Idol,Cradle of Love Billy Idol,error
209,Blaze of Glory,Jon Bon Jovi,Jon Bon,Blaze of Glory Jon Bon,error
210,Do Me!,Bell Biv DeVoe,Bell Biv,Do Me! Bell Biv,error
211,How Am I Supposed to Live Without You,Michael Bolton,Michael Bolton,How Am I Supposed to Live Without You Michael Bolton,error
212,Pump Up the Jam,Technotronic,Technotronic,Pump Up the Jam Technotronic,error
213,Opposites Attract,Paula Abdul and The Wild Pair,Paula Abdul,Opposites Attract Paula Abdul,error
214,Escapade,Janet Jackson,Janet Jackson,Escapade Janet Jackson,error
215,All I Wanna Do Is Make Love to You,Heart,Heart,All I Wanna Do Is Make Love to You Heart,error
216,Close to You,Maxi Priest,Maxi Priest,Close to You Maxi Priest,error
217,Black Velvet,Alannah Myles,Alannah Myles,Black Velvet Alannah Myles,error
218,Release Me,Wilson Phillips,Wilson Phillips,Release Me Wilson Phillips,error
219,Don't Know Much,Linda Ronstadt and Aaron Neville,Linda Ronstadt,Don't Know Much Linda Ronstadt,error
220,All Around the World,Lisa Stansfield,Lisa Stansfield,All Around the World Lisa Stansfield,error
221,I Wanna Be Rich,Calloway,Calloway,I Wanna Be Rich Calloway,error
222,Rub You the Right Way,Johnny Gill,Johnny Gill,Rub You the Right Way Johnny Gill,error
